# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
げんご 言语 [语言]
ぶんだい 文体 [文体]
ぶんぽう 文法 [语法]
たんご 单语 [单词]
じしょ 辞书 [词典]
ほにゃく 翻译 [翻译]
つうやく 通译 [口译]
りゅうがく 留学 [留学]
りゅうがくせい 留学生 [留学生]
けいけん 经验 [经验]
ちしき 知识 [知识]
ぎじゅつ 技术 [技术，手艺]
のうりょく 能力 [能力]
さいのう 才能 [才能]
てんさい 天才 [天才]
どりょく 努力 [努力]
せいこう 成功 [成功]
しっぱい 失败 [失败]
げんいん 原因 [原因]
けっか 结果 [结果]
もくてき 目的 [目的]
ひょう 目标 [目标]
けいかく 计划 [计划]
じっし 实施 [实施]
こうか 效果 [效果]
えいきょう 影响 [影响]
へんか 变化 [变化]
はってん 发展 [发展]
しんか 进化 [进化]
たいか 退化 [退化]
れきし 历史 [历史]
じだい 时代 [时代]
ぶんか 文化 [文化]
でんとう 传统 [传统]
げいじゅつ 艺术 [艺术]
びじゅつ 美術 [美术]
おんがく 音乐 [音乐]
えんげき 演剧 [戏剧]
えいが 映画 [电影]
アニメ  [动画]
マンガ  [漫画]
ゲーム  [游戏]
スポーツ スポーツ [体育]
ぶんがく 文学 [文学]
しょうせつ 小说 [小说]
し 诗 [诗歌]
はいく 俳句 [俳句]
たんか 短歌 [短歌]
ずいひつ 随笔 [随笔]
にっき 日记 [日记]
しんぶん 新闻 [报纸]
ざっし 杂志 [杂志]
テレビ  [电视]
ラジオ  [广播]
インターネット  [互联网]
ウェブ  [网页]
サイト [网站]
ブログ  [博客]
アプリ  [应用软件]
スマホ  [智能手机]
ケータイ  [手机]
パソコン  [电脑]
コンピューター  [计算机]
ネット  [网络]
メール  [邮件]
チャット  [聊天]
オンライン  [在线]
オフライン  [离线]
データ 数据 [数据]
じょうほう 信息 [信息]
システム 系统 [系统]
プログラム 程序 [程序]
ソフト  [软件]
ハード  [硬件]
ネットワーク  [网络]
セキュリティ  [安全]
パスワード  [密码]
アカウント  [账号]
ログイン  [登录]
ログアウト [注销]
クリック  [点击]
スクロール  [滚动]
コピー  [复制]
ペースト  [粘贴]
カット  [剪切]
ファイル  [文件]
フォルダ  [文件夹]
ダウンロード  [下载]
アップロード ア [上传]
リンク  [链接]
エラー  [错误]
バグ  [漏洞]
ウイルス  [病毒]
こうしん 更新 [更新]
ばっくアップ バックアップ [备份]
りれき 履历 [历史记录]
せってい 设定 [设置]
がめん 画面 [屏幕]
キーボード キーボード [键盘]
マウス マウス [鼠标]
プリンタ プリンタ [打印机]
インク インク [墨水]
かみ 纸 [纸张]
ノード ノード [节点]
コード コード [代码]
バグ バグ [软件缺陷]
テスト テスト [测试]
リリース リリース [发布]
运用 运用 [运用]
ほしゅ 保守 [维护]
かんり 管理 [管理]
うんえい 运营 [运营]
きかく 企画 [策划]
せいさく 制作 [制作]
でざいん デザイン [设计]
イラスト イラスト [插画]
しゃしん 写真 [照片]
どうが 动画 [视频]
おんせい 音声 [音频]
おんきょう 音响 [音响]
しょうめい 照明 [照明]
ぶたい 舞台 [舞台]
いしょう 衣装 [服装]
めいく メイク [化妆]
かみがた 髪型 [发型]
ふく 服 [衣服]
ふくそう 服装 [服装]
ファッション ファッション [时尚]
すたいる スタイル [风格，身材]
もでる モデル [模特]
たれんと タレント [艺人]
アイドル アイドル [偶像]
かしゅ 歌手 [歌手]
ばんど バンド [乐队]
こんさーと コンサート [演唱会]
らいぶ ライブ [现场直播，Live]
つあー ツアー [巡演，旅游]
ちけっと チケット [门票]
よやく 预约 [预约]
キャンセル キャンキャンセル [取消]
へんきん 返金 [退款]
こうかん 交换 [更换]
へんぴん 返品 [退货]
しょうひん 商品 [商品]
せいひん 产品 [产品]
ぶっぴん 物品 [物品]
にもつ 荷物 [行李]
はっそう 発送 [发货]
はいたつ 配达 [送货，投递]
たくはいびん 宅配便 [快递]
ゆうびん 邮便 [邮政]
きって 切手 [邮票]
はがき はがき [明信片]
ふうとう 封筒 [信封]
てがみ 手紙 [信]
しょるい 书类 [文件，资料]
いんかん 印鉴 [印章]
さいん サイン [签名]
けいやく 契约 [契约，合同]
てづづき 手続き [手续]
しょうめい 証明 [证明]
めんきょ 许可 [许可证，执照]
ぱすぽーと パスポート [护照]
びざ ビザ [签证]
りょこう 旅行 [旅行]
かんこう 观光 [观光]
つあー ツアー [旅游团]
ほてる ホテル [酒店]
りょかん 旅館 [旅馆]
おんせん 温泉 [温泉]
おみやげ お土産 [特产，礼物]
きねん 纪念 [纪念]
おもいで 思い出 [回忆]
しゃしん 写真 [照片]
カメラ カメラ [相机]
れんず レンズ [镜头]
さつえい 撮影 [拍摄]
ろくおん 录音 [录音]
ろくが 录画 [录像]
へんしゅう 編集 [编辑]
さくひん 作品 [作品]
てんらんかい 展覧会 [展览会]
びじゅつかん 美術館 [美术馆]
はくぶつかん 博物館 [博物馆]
としょかん 図書館 [图书馆]
ほん 本 [书]
しょてん 书店 [书店]
ざっし 杂志 [杂志]
しんぶん 新闻 [报纸]
きじ 記事 [文章，报道]
こうこく 广告 [广告]
せんでん 宣传 [宣传]
まーけてぃんぐ マーケティング [营销]
しじょう 市场 [市场]
きょうそう 竞争 [竞争]
きぎょう 企业 [企业]
かいしゃ 会社 [公司]
びじねす ビジネス [商业，业务]
仕事 工作 [工作]
しょくぎょう 职业 [职业]
きゅうりょう 给料 [工资]
ぼーなす ボーナス [奖金]
めんせつ 面接 [面试]
さいよう 采用 [录用]
けんしゅう 研修 [培训]
きあつ 気圧 [气压]
ハリケーン ハリケーン [飓风]
サイクロン サイクロン [气旋]
シベリア高気圧 シベリア高気圧 [西伯利亚高气压]
シベリア気団 シベリア気団 [西伯利亚气团]
オホーツク海気団 オホーツク海気団 [鄂霍次克海气团]
ジェット気流 ジェット気流 [喷流，急流]
エルニーニョ現象 エルニーニョ現象 [厄尔尼诺现象]
ラニーニャ現象 ラニーニャ現象 [拉尼娜现象]
マグニチュード マグニチュード [震级]
プレート プレート [板块]
りさい 罹災 [受灾]
ボランティア ボランティア [志愿者]
ライフライン ライフライン [生命线（水、电、气等基础设施）]
ガス停止 ガス停止 [停气]
むかしむかし 昔々 [很久很久以前]
あるところに あるところに [在某个地方]
おじいさん おじいさん [老爷爷]
おばあさん おばあさん [老奶奶]
くらす 暮らす [生活]
やま 山 [山]
しばかり 芝刈り [砍柴]
いく 行く [去]
かわ 川 [河流]
せんたく 洗濯 [洗衣服]
ながれてくる 流れてくる [流过来]
おおきな 大きな [大的]
もも 桃 [桃子]
ひろう 拾う [捡起]
いえ 家 [家]
もってかえる 持って帰る [带回家]
たべよう たべよう [准备吃]
きろう 切ろう [准备切]
なか 中 [里面]
あかんぼう 赤ん坊 [婴儿]
とびだす 飛び出す [蹦出来]
こども 子ども [孩子]
いない いない [没有]
よろこぶ 喜ぶ [高兴]
なまえ 名前 [名字]
つける つける [取名]
そだてる 付ける [抚养]
どんどん どんどん [不断地]
おおきくなる 大きくなる [长大]
つよい 強い [强壮]
やさしい 優しい [温柔]
おとこのこ 男の子 [男孩]
あるひ ある 日 [有一天]
おに 鬼 [鬼，恶魔]
わるさ 悪さ [作恶]
こまる 困る [为难]
きく 聞く [听说]
おにがしま 鬼ヶ島 [鬼岛]
たいじ 退治 [退治，惩罚]
おにたいじ 鬼退治 [消灭恶鬼]
でかける 出かける [出发]
きびだんご きびだんご [吉备团子]
つくって 新しい～ [做]
もらう もらう [得到]
こし 腰 [腰]
つける 付ける [带上]
とちゅう 途中 [途中]
いぬ 犬 [狗]
ひとつ ひとつ [一个]
ください ください [请给我]
おとも お供 [随从]
します します [做]
つぎ 次 [接下来]
さる 猿 [猴子]
きじ キジ [雉鸡]
なかま 仲間 [同伴]
ふね 船 [船]
のる 乗る [乘]
うみ 海 [海]
わたる 渡る [渡]
とうちゃく 到着 [到达]
たたかう 戦う [战斗]
まかす 負かす [打败]
まいりました まいりました [我认输了]
あやまる 謝る [道歉]
たからもの 宝物 [宝物]
くるま 車 [车]
つむ 積む [装载]
むら 村 [村庄]
かえる 帰る [回来]
しあわせ しあわせ [幸福]
めでたしめでたし めでたしめでたし [可喜可贺]
ぶんぶく茶釜 ぶんぶく茶釜 [文福茶釜]
おしょう お寺の～ [和尚]
かわいがる かわいがる [宠爱]
たぬき たぬき [狸猫]
ふるい 古い [古老的]
ちゃがま 茶釜 [茶釜]
うる 売る [卖]
かわいそう かわいそう [可怜]
ていねい 丁寧 [礼貌]
あらう 洗う [洗]
いたがる いたがる [喊痛]
おどろく 驚く [吃惊]
ひあぶる 火に～ [火烤]
あつい あつい [热]
あつがる 暑がる [嫌热]
てあし 手足 [手脚]
しっぽ しっぽ [尾巴]
だす 出す [露出]
にげだす 逃げ出す [逃跑]
ふるや 古道具屋 [古董店]
おやじ おやじ [老头]
よる 夜 [晚上]
おきる 起きる [起来]
つなわたる 綱渡り [走钢丝]
みせる 見せる [展示]
みせものごや 見世物小屋 [杂耍小屋]
おおもうけ 大儲け [大赚]
おれい お礼 [谢礼]
おてら お寺 [寺庙]
かえす 返す [还]
まいにち 毎日 [每天]
たくさんの たくさんの [很多的]
ひと 人 [人]
おまいり お参り [参拜]
のこる 残る [留下]
はなし 話 [故事]
おしまい おしまい [结束]
おむすびころりん おむすびころりん [饭团滚滚]
きこり きこり [樵夫]
おにぎり おにぎり [饭团]
おとす 落とす [掉落]
あな 穴 [洞]
ころがる ころがる [滚动]
うた 歌 [歌]
きこえる 聞こえる [听到]
たのしい 楽しい [快乐]
もうひとつ もうひとつ [再一个]
いれる 入れる [放进]
じぶん 自分 [自己]
おちる 落ちる [掉进]
ねずみ ねずみ [老鼠]
おどり 踊り [舞蹈]
ごちそう ごちそう [盛宴]
つづら つづら [藤箱]
おみやげ お土産 [礼物]
ちいさな 小さな [小的]
えらぶ 選ぶ [选]
きんか 金貨 [金币]
いっぱい いっぱい [满]
いじわるな いじわるな [坏心眼的]
となり 隣 [隔壁]
まね 真似 [模仿]
よくばる 欲張る [贪心]
おどかす 脅かす [吓唬]
ねこのなきまね 猫の鳴き真似 [学猫叫]
にげる 逃げる [逃跑]
まっくら まっくら [漆黑]
でられなくなる 出られなくなる [出不来了]
うらしまたろう 浦島太郎 [浦岛太郎]
りょうし 漁師 [渔夫]
うみべ 海辺 [海边]
かめ 亀 [乌龟]
いじめる いじめる [欺负]
おとひめ 乙姫 [乙姬]
たい 鯛 [鲷鱼]
ひらめ ひらめ [比目鱼]
ひにち 日にち [日子]
たつ 経つ [过]
しんぱい 心配 [担心]
たまてばこ 玉手箱 [玉手箱]
あめてはならない あけてはならない [不能打开]
やくそく 約束 [约定]
だれ 誰 [谁]
なんねん 何年 [多少年]
けむり 煙 [烟]
しろい 白い [白]
かみ 髪 [头发]
なってしまう なってしまう [变成了]
かぐやひめ かぐや姫 [竹取公主]
たけ 竹 [竹]
たけとりのおきな 竹取の翁 [采竹老翁]
ひかる 光る [发光]
みつける 見つける [发现]
うつくしい 美しい [美丽]
おかね お金 [钱]
おねがい お願い [请求]
けっこん 結婚 [结婚]
むりな むりな [勉强的]
ほうび 褒美 [奖赏]
つき 月 [月亮]
さよなら さよなら [再见]
かえる 帰る [回]
つるのおんがえし 鶴の恩返し [仙鹤报恩]
わかもの 若者 [年轻人]
つる 鶴 [仙鹤]
あや 織る [织布]
のぞく のぞく [偷看]
はたおり 旗織り [织布]
はね 羽 [羽毛]
ぬく 抜く [拔]
ばれる ばれる [暴露]
とびたつ 飛び立つ [飞走]
さるかにがっせん さるかに合戦 [猿蟹合戦]
かに 蟹 [螃蟹]
さる 猿 [猴子]
かき 柿 [柿子]
たね 種 [种子]
かきのみ 柿の実 [柿子果实]
ぶつける ぶつける [砸]
しぬ 死ぬ [死]
かたきうち 仇討ち [报仇]
くり 栗 [栗子]
はち 蜂 [蜜蜂]
うす 臼 [石臼]
うんち うんち [粪便]
こらす 懲らす [惩罚]
いっすんぼうし 一寸法師 [一寸法師]
ちいさな 小さな [小的]
おわん お椀 [碗]
はし 箸 [筷子]
きょうと 京都 [京都]
おに 鬼 [鬼]
のみこむ 飲み込む [吞下]
はしでつつく 箸でつつく [用筷子戳]
うちでのこづち 打ち出の小槌 [万宝槌]
おおきくなる 大きくなる [变大]
わらしべちょうじゃ わらしべ長者 [稻草富翁]
わらしべ わらしべ [稻草]
あぶ あぶ [牛虻]
みかん みかん [橘子]
たんもの 反物 [布匹]
うま 馬 [马]
やしき 屋敷 [大宅邸]
こうじょう 工場 [工厂]
せいさん 生産 [生产]
せいぞう 製造 [制造]
ぎじゅつ 技术 [技术]
きかい 机械 [机械]
ろぼっと ロケット [机器人]
おーとめーしょん オートメーション [自动化]
こうてい 工程 [工序]
かんり 管理 [管理]
しつ 质 [质量]
けんさ 检查 [检查]
ふりょうひん 不良品 [次品]
しゅっか 出荷 [出货]
ゆそう 输送 [运输]
とらっく トラック [卡车]
どらいばー ドライバー [司机]
うんてん 驾驶 [驾驶]
こうつう 交通 [交通]
じこ 事故 [事故]
あんぜん 安全 [安全]
たいさく 对策 [对策]
よぼう 预防 [预防]
きけん 危险 [危险]
ちゅうい 注意 [注意]
けいこく 警告 [警告]
きんし 禁止 [禁止]
きょか 许可 [许可]
ほうりつ 法律 [法律]
きそく 规则 [规则]
まもる 守る [遵守]
いはん 违反 [违反]
たいほ 逮捕 [逮捕]
けいさつ 警察 [警察]
こうばん 交番 [派出所]
ぱとかー パトカー [警车]
きゅうきゅうしゃ 救急車 [救护车]
しょうぼうしゃ 消防車 [消防车]
かじ 火事 [火灾]
しょうか 消火 [灭火]
ひにん 避难 [避难]
さいがい 灾害 [灾害]
じしん 地震 [地震]
つなみ 津波 [海啸]
たいふう 台風 [台风]
こうすい 洪水 [洪水]
ひがい 被害 [受灾，受损失]
ふっきゅう 恢复 [恢复]
しえん 支援 [支援]
きふ 寄付 [捐款]
ぼらんてぃあ ボランティア [志愿者]
しゃかい 社会 [社会]
こうけん 贡献 [贡献]
かつどう 活动 [活动]
ちいき 地域 [地区]
じゅうみん 住民 [居民]
しみん 市民 [市民]
こくみん 国民 [国民]
せいふ 政府 [政府]
せいじ 政治 [政治]
せんきょ 选举 [选举]
とうひょう 投票 [投票]
だいとうりょう 大統領 [总统]
しゅしょう 首相 [首相]
ぎいん 议员 [议员]
こっかい 国会 [国会]
さいばん 裁判 [审判]
ほうりつ 法律 [法律]
けんぽう 宪法 [宪法]
けんり 权利 [权利]
ぎむ 义务 [义务]
じゆう 自由 [自由]
びょうどう 平等 [平等]
へいわ 和平 [和平]
せんそう 戦争 [战争]
ぶき 武器 [武器]
ぐんたい 军队 [军队]
へいし 兵士 [士兵]
たいりつ 对立 [对立]
こうしょう 交涉 [谈判]
きょうてい 协定 [协定]
じょうやく 条约 [条约]
こくさい 国际 [国际]
れんごう 联合 [联合]
こくさいれんごう 国際連合 [联合国]
せかい 世界 [世界]
ちきゅう 地球 [地球]
かんきょう 环境 [环境]
もんだい 问题 [问题]
かいけつ 解决 [解决]
きょうりょく 合作 [合作]
はってん 发展 [发展]
えんじょ 援助 [援助]
ぼうえき 贸易 [贸易]
ゆにゅう 输入 [进口]
ゆしゅつ 输出 [出口]
かんぜい 关税 [关税]
つうか 通货 [货币]
どる ドル [美元]
えん 円 [日元]
ゆーろ ユーロ [欧元]
れーと レート [汇率]
けいざい 经济 [经济]
けいえい 经营 [经营]
しよう 市场 [市场]
かかく 价格 [价格]
ぶっか 物价 [物价]
しょうひ 消费 [消费]
しょうひしゃ 消費者 [消费者]
じゅよう 需要 [需求]
きょうきゅう 供给 [供给]
ばらんす バランス [平衡]
きょうそう 竞争 [竞争]
どくさい 独裁 [垄断]
きぎょう 企业 [企业]
かいしゃ 会社 [公司]
とうし 投资 [投资]
かぶ 株 [股票]
ぎんこう 银行 [银行]
おさつ お札 [纸币]
コイン コイン [硬币]
ちょきん 貯金 [储蓄]
よきん 預金 [存款]
かわせ 为替 [汇兑]
ろーん ローン [贷款]
しゃっきん 借金 [借债]
はさん 破产 [破产]
けいせい 景気 [经济状况]
ふけいき 不景気 [经济萧条]
はんじょう 繁盛 [繁荣]
りえき 利益 [利益]
うりあげ 売上 [营业额]
こすと コスト [成本]
よさん 预算 [预算]
けっさん 决算 [决算]
ぜいきん 税金 [税金]
しょとく 所得 [收入]
ねんきん 年金 [养老金]
ほけん 保险 [保险]
ふくし 福利 [福利]
しゃかいほけん 社会保険 [社会保险]
ろうどう 劳动 [劳动]
ろうどうしゃ 労働者 [劳动者]
こよう 雇佣 [雇佣]
かいこ 解雇 [解雇]
しごと 仕事 [工作]
しょくぎょう 职业 [职业]
きゅうりょう 给料 [工资]
ぼーなす ボーナス [奖金]
あるばいと アルバイト [兼职]
ぱーと パート [兼职小时工]
てんしょく 転職 [换工作]
たいしょく 退職 [退休，离职]
しつぎょう 失业 [失业]
きゅうじん 求人 [招聘]
ぼしゅう 募集 [募集]
めんせつ 面接 [面试]
さいよう 采用 [录用]
けんしゅう 研修 [培训]
のうりょく 能力 [能力]
けいけん 经验 [经验]
せいか 成果 [成果]
ひょうか 评价 [评价]
しょうしん 昇進 [晋升]
しゅっせ 出世 [出人头地]
せきにん 责任 [责任]
りーだー リーダー [领导者]
まねーじゃー マネージャー [经理]
すたっふ スタッフ [员工]
ちーむ チーム [团队]
ぷろじぇくと プロジェクト [项目]
きげん 期限 [期限]
しめきり 締め切り [截止日期]
よてい 予定 [计划]
じゅんび 准备 [准备]
てづづき 手続き [手续]
しょるい 书类 [文件]
いんかん 印鉴 [印章]
さいん サイン [签名]
けいやく 契约 [合同]
ほうこく 报告 [报告]
れんらく 連絡 [联系]
そうだん 相談 [商量]
かいぎ 会议 [会议]
あじあ アジア [亚洲]
ゆうらしあ ユーラシア [欧亚大陆]
あふりか アフリカ [非洲]
よーろっぱ ヨーロッパ [欧洲]
あめりか アメリカ [美国]
おせあにあ オセアニア [大洋洲]
にほん 日本 [日本]
ちゅうごく 中国 [中国]
かんこく 韓国 [韩国]
とうなんあじあ 東南アジア [东南亚]
いんど インド [印度]
ろしあ ロシア [俄罗斯]
えいこく 英国 [英国]
ふらんす フランス [法国]
どいつ ドイツ [德国]
いたりあ イタリア [意大利]
すぺいん スペイン [西班牙]
おーすとらりあ オーストラリア [澳大利亚]
ぶらじる ブラジル [巴西]
えじぷと エジプト [埃及]
こっか 国家 [国家]
しゅと 首都 [首都]
とうきょう 東京 [东京]
ぺきん 北京 [北京]
そうる ソウル [首尔]
わしんとん ワシントン [华盛顿]
ろんどん ロンドン [伦敦]
ぱり パリ [巴黎]
べるりん ベルリン [柏林]
ろーま ローマ [罗马]
もすくわ モスクワ [莫斯科]
かんこう 观光 [观光]
りょこう 旅行 [旅行]
ほてる ホテル [酒店]
りょかん 旅館 [旅馆]
びざ ビザ [签证]
ぱすぽーと パスポート [护照]
くうこう 空港 [机场]
ひこうき 飛行機 [飞机]
ちけっと チケット [票]
よやく 预约 [预约]
きゃんせる キャンセル [取消]
つあー ツアー [导游，旅游团]
がいど ガイド [导游]
おみやげ お土産 [特产]
めぶつ 名物 [名产]
でんとう 传统 [传统]
ぶん化 文化 [文化]
げんご 言语 [语言]
えいご 英语 [英语]
ちゅうごくご 中国語 [中文]
にほんご 日本語 [日语]
つうやく 通译 [翻译]
ほんやく 翻译 [翻译]
りゅうがく 留学 [留学]
交流 交流 [交流]
こくさい 国际 [国际]
きょうりょく 合作 [合作]
へいわ 和平 [和平]
せかい 世界 [世界]
たいりく 大陆 [大陆]
とう しま [岛]
はんとう 半岛 [半岛]
うみ 海 [海]
わん 湾 [湾]
かいきょう 海峡 [海峡]
かわ 川 [河]
みずうみ 湖 [湖]
いけ 池 [池塘]
やま 山 [山]
かざん 火山 [火山]
さんみゃく 山脈 [山脉]
しんりん 森林 [森林]
さばく 沙漠 [沙漠]
そうげん 草原 [草原]
へいや 平野 [平原]
ぼんち 盆地 [盆地]
こうげん 高原 [高原]
しぜん 自然 [自然]
かんきょう 环境 [环境]
ほご 保护 [保护]
おんだんか 温暖化 [变暖]
きこう 气候 [气候]
てんき 天気 [天气]
たいよう 太阳 [太阳]
つき 月 [月亮]
ほし 星 [星星]
うちゅう 宇宙 [宇宙]
ちきゅう 地球 [地球]
かんらんしゃ 観覧車 [摩天轮]
じぇっとこーすたー ジェットコースター [过山车]
おばけやしき お化け屋敷 [鬼屋]
ぷーる プール [游泳池]
びーち ビーチ [海滩]
きゃんぷ キャンプ [露营]
ばーべきゅー バーベキュー [烧烤]
はなび 花火 [烟花]
おまつり お祭り [祭典，节日]
じんじゃ 神社 [神社]
てら 寺 [寺庙]
おまいり お参り [参拜]
きねん 纪念 [纪念]
おもいで 思い出 [回忆]
しゃしん 写真 [照片]
かめら カメラ [相机]
びでお ビデオ [视频]
がぞう 画像 [图像]
おんせい 音声 [声音]
おんがく 音乐 [音乐]
がっき 乐器 [乐器]
ぴあの ピアノ [钢琴]
ぎたー ギター [吉他]
うた 歌 [歌]
かしゅ 歌手 [歌手]
こんさーと コンサート [演唱会]
らいぶ ライブ [现场]
ちけっと チケット [门票]
えいが 映画 [电影]
えいがかん 映画館 [电影院]
あにめ アニメ [动画]
まんが マンガ [漫画]
げーむ ゲーム [游戏]
おもちゃ おもちゃ [玩具]
にんぎょう 人形 [玩偶]
ぬぐるみ ぬいぐるみ [毛绒玩具]
えほん 絵本 [绘本]
どくしょ 読書 [读书]
としょかん 図書館 [图书馆]
ほん 本 [书]
ざっし 杂志 [杂志]
しんぶん 新闻 [报纸]
にっき 日记 [日记]
てがみ 手紙 [信]
ゆうびん 邮便 [邮政]
きって 切手 [邮票]
はがき はがき [明信片]
ぶんぼうぐ 文房具 [文具]
のーと ノート [笔记本]
ぺん ペン [笔]
えんぴつ 鉛筆 [铅笔]
けしごむ 消しゴム [橡皮擦]
はさみ はさみ [剪刀]
のり のり [胶水]
てちょう 手帳 [手册]
かれんだー カレンダー [日历]
とけい 時計 [手表，钟]
すまほ スマホ [智能手机]
けーたい ケータイ [手机]
ぱそこん パソコン [电脑]
ねっと ネット [网络]
めーる メール [邮件]
ちゃっと チャット [聊天]
でんわ 電話 [电话]
ばんごう 番号 [号码]
じゅうしょ 住所 [地址]
しめい 姓名 [姓名]
ねんれい 年齢 [年龄]
せいべつ 性别 [性别]
たんじょうび 誕生日 [生日]
お祝い お祝い [庆祝]
プレゼント プレゼント [礼物]
ケーキ ケーキ [蛋糕]
パーティー パーティー [派对]
ともだち 友達 [朋友]
かぞく 家族 [家人]
おとうさん お父さん [父亲]
おかあさん お母さん [母亲]
おにいさん お兄さん [哥哥]
おねえさん お姉さん [姐姐]
おとうと おとうと [弟弟]
いもうと いもうと [妹妹]
おじいさん おじいさん [爷爷，外公]
おばあさん おばあさん [奶奶，外婆]
こども 子ども [孩子]
あかんぼう 赤ん坊 [婴儿]
まご 孫 [孙子，孙女]
しんせき 親戚 [亲戚]
けっこん 結婚 [结婚]
りこん 离婚 [离婚]
そうしき 葬式 [葬礼]
せいかつ 生活 [生活]
まいにち 毎日 [每天]
あさ 朝 [早上]
ひる 昼 [中午]
よる 夜 [晚上]
ばん 晩 [晚上]
ごぜん 午前 [上午]
ごご 午後 [下午]
じかん 時間 [时间]
じ じ [点]
ふん ふん [分]
びょう びょう [秒]
きょう 今日 [今天]
あした 明明 [明天]
きのう 昨日 [昨天]
あさって あさって [后天]
おととい おととい [前天]
こんしゅう 今週 [本周]
らいしゅう 来週 [下周]
せんしゅう 先週 [上周]
こんげつ 今月 [本月]
らいげつ 来月 [下月]
せんげつ 先月 [上月]
ことし 今年 [今年]
らいねん 来年 [明年]
きょねん 去年 [去年]
しょうつ 平常 [平时]
しゅうまつ 週末 [周末]
きゅうじつ 休日 [节日，假日]
しゅくじつ 祝日 [法定节假日]
やすみ 休み [休息]
きゅうか 休暇 [假期]
じゆう 自由 [自由]
じかん 時間 [时间]
よてい 予定 [计划]
けいかく 计划 [计划]
じゅんび 准备 [准备]
片づけ 片づけ [收拾]
そうじ 掃除 [打扫]
せんたく 洗濯 [洗衣服]
りょうり 料理 [做饭]
べんとう 弁当 [盒饭]
しょくじ 食事 [用餐]
あさごはん 朝ごはん [早餐]
ひるごはん 昼ごはん [午餐]
ばんごはん 晩ごはん [晚餐]
おやつ おやつ [点心，零食]
外食 外食 [在外就餐]
レストラン レストラン [餐厅]
カフェ カフェ [咖啡厅]
メニュー メニュー [菜单]
注文 注文 [点单]
お勘定 お勘定 [结账]
現金 現金 [现金]
カード カード [刷卡]
ぺい ペイ [电子支付]
さいふ 財布 [钱包]
おかね お金 [钱]
かいもの 買い物 [购物]
みせ 店 [商店]
スーパー スーパー [超市]
コンビニ コンビニ [便利店]
デパート デパート [百货商场]
うりば 売り場 [柜台]
しょうひん 商品 [商品]
値段 値段 [价格]
やすい 安い [便宜]
たかい 高い [贵]
割引 割引 [打折]
セール セール [特价销售]
レジ レジ [收银台]
ふくろ 袋 [袋子]
レシート レシート [小票]
おつり おつり [找零]
返品 返品 [退货]
交换 交換 [更换]
えいご 英語 [英语]
すうがく 数学 [数学]
りか 理科 [理科]
しゃかい 社会 [社会]
れきし 歴史 [历史]
ちり 地理 [地理]
たいいく 体育 [体育]
おんがく 音乐 [音乐]
びじゅつ 美術 [美术]
てすと テスト [考试，测试]
しけん 試験 [考试]
べんきょう 勉強 [学习]
よしゅう 予習 [预习]
ふくしゅう 复习 [复习]
しゅくだい 宿題 [作业]
じゅけん 受験 [应试]
ごうかく 合格 [及格，通过]
ふごうかく 不合格 [不及格]
そつぎょう 卒業 [毕业]
にゅうがく 入学 [入学]
きょうしつ 教室 [教室]
つくえ 机 [书桌]
いす いす [椅子]
こくばん 黒板 [黑板]
ちょーく チョーク [粉笔]
のーと ノート [笔记本]
きょうかしょ 教科書 [教科书]
じしょ 辞書 [词典]
べん ぺん [笔]
えんぴつ 鉛筆 [铅笔]
けしごむ 消しゴム [橡皮擦]
るーらー ルーラー [尺子]
ばっぐ バッグ [书包]
らんどせる ランドセル [双肩书包]
せいふく 制服 [校服]
うんどうぎ 運動着 [运动服]
うんどうくつ 運動靴 [运动鞋]
きゅうしょく 給食 [学校供餐]
えんそく 遠足 [远足]
うんどうかい 運動会 [运动会]
ぶかつ 部活 [社团活动]
せんぱい 先輩 [前辈]
こうはい 後輩 [后辈]
どうきゅうせい 同級生 [同学]
くらすめーと クラスメート [同班同学]
ともだち 友達 [朋友]
せんせい 先生 [老师]
こうちょう 校長 [校长]
がっこう 学校 [学校]
しょうがっこう 小学校 [小学]
ちゅうがっこう 中学校 [初中]
こうとうがっこう 高等学校 [高中]
だいがく 大学 [大学]
だいがくいん 大学院 [研究院]
せんもんがっこう 専門学校 [专科学校]
ようちえん 幼稚園 [幼儿园]
ほいくえん 保育園 [托儿所]
きょういく 教育 [教育]
じゅく 塾 [补习班]
ならいごと 習い事 [学习才艺]
ぴあの ピアノ [钢琴]
すいえい 水泳 [游泳]
しゅうじ 習字 [书法]
そろばん そろばん [算盘]
えいかいわ 英会話 [英语会话]
たいくつ 退屈 [无聊]
おもしろい 面白い [有趣的]
むずかしい 難しい [困难的]
やさしい 優しい [容易的，温柔的]
かんたん 簡単 [简单的]
ふくざつ 複雑 [复杂的]
きびしい 厳しい [严厉的]
やさしい 優しい [亲切的]
まじめ まじめ [认真的]
ふまじめ ふまじめ [不认真的]
かしこい 賢い [聪明的]
あたまがいい 頭がいい [聪明的]
てんさい 天才 [天才]
どりょく 努力 [努力]
せいこう 成功 [成功]
しっぱい 失败 [失败]
ちしき 知识 [知识]
のうりょく 能力 [能力]
さいのう 才能 [才能]
けいけん 经验 [经验]
しょうらい 将来 [将来]
ゆめ 夢 [梦想]
